"Date","Price","Open","High","Low","Change %"
"02/07/2022","36.11","33.96","36.11","33.96","0.39%"
"02/04/2022","35.97","33.04","35.97","33.04","5.73%"
"02/03/2022","34.02","30.79","34.02","30.79","8.38%"
"02/02/2022","31.39","31.70","31.70","31.39","-2.94%"
"02/01/2022","32.34","31.68","32.34","31.68","0.00%"
"01/31/2022","32.34","31.56","32.34","31.56","0.19%"
"01/28/2022","32.28","30.34","32.28","30.34","3.56%"
"01/27/2022","31.17","30.34","31.17","30.34","0.00%"
"01/26/2022","31.17","30.12","31.17","30.12","0.35%"
"01/25/2022","31.06","30.12","31.06","30.12","0.00%"
"01/24/2022","31.06","29.00","31.06","29.00","7.10%"
"01/21/2022","29.00","29.19","29.19","29.19","3.02%"
"01/20/2022","28.15","27.17","28.15","27.17","-1.75%"
"01/19/2022","28.65","29.19","29.19","28.65","-1.51%"
"01/18/2022","29.09","28.76","29.09","28.76","6.28%"
"01/17/2022","27.37","27.17","27.37","27.17","2.97%"
"01/14/2022","26.58","26.72","26.72","26.58","2.78%"
"01/13/2022","25.86","26.72","26.72","25.86","1.97%"
"01/12/2022","25.36","26.95","26.95","25.36","-2.35%"
"01/11/2022","25.97","26.88","26.88","25.93","0.15%"
"01/10/2022","25.93","26.48","26.48","25.93","2.73%"
"01/07/2022","25.24","26.27","26.27","25.24","2.48%"
"01/06/2022","24.63","25.36","25.36","24.63","4.01%"
"01/05/2022","23.68","25.59","25.59","23.68","-2.51%"
"01/04/2022","24.29","25.82","25.82","24.29","-2.45%"
"01/03/2022","24.90","25.81","25.81","24.90","-0.04%"
